,DATE,Year,Month,Day,MonetaryBase
119,1959-06-17,1959,6,17,50590.63636363636
120,1959-06-18,1959,6,18,50611.77272727273
121,1959-06-19,1959,6,19,50632.90909090909
122,1959-06-22,1959,6,22,50654.045454545456
123,1959-06-23,1959,6,23,50675.181818181816
124,1959-06-24,1959,6,24,50696.318181818184
125,1959-06-25,1959,6,25,50717.454545454544
126,1959-06-26,1959,6,26,50738.59090909091
127,1959-06-29,1959,6,29,50759.72727272727
128,1959-06-30,1959,6,30,50780.86363636364
129,1959-07-01,1959,7,1,50802.0
130,1959-07-02,1959,7,2,50795.86956521739
131,1959-07-03,1959,7,3,50789.739130434784
132,1959-07-06,1959,7,6,50783.608695652176
133,1959-07-07,1959,7,7,50777.47826086957
134,1959-07-08,1959,7,8,50771.34782608696
135,1959-07-09,1959,7,9,50765.217391304344
136,1959-07-10,1959,7,10,50759.086956521736
137,1959-07-13,1959,7,13,50752.95652173913
138,1959-07-14,1959,7,14,50746.82608695652
139,1959-07-15,1959,7,15,50740.69565217391
140,1959-07-16,1959,7,16,50734.565217391304
141,1959-07-17,1959,7,17,50728.434782608696
142,1959-07-20,1959,7,20,50722.30434782609
143,1959-07-21,1959,7,21,50716.17391304348
144,1959-07-22,1959,7,22,50710.04347826087
145,1959-07-23,1959,7,23,50703.913043478264
146,1959-07-24,1959,7,24,50697.782608695656
147,1959-07-27,1959,7,27,50691.65217391304
148,1959-07-28,1959,7,28,50685.52173913043
149,1959-07-29,1959,7,29,50679.391304347824
150,1959-07-30,1959,7,30,50673.260869565216
151,1959-07-31,1959,7,31,50667.13043478261
152,1959-08-03,1959,8,3,50661.0
153,1959-08-04,1959,8,4,50663.90476190476
154,1959-08-05,1959,8,5,50666.80952380953
155,1959-08-06,1959,8,6,50669.71428571428
156,1959-08-07,1959,8,7,50672.619047619046
157,1959-08-10,1959,8,10,50675.52380952381
158,1959-08-11,1959,8,11,50678.42857142857
159,1959-08-12,1959,8,12,50681.333333333336
160,1959-08-13,1959,8,13,50684.23809523809
161,1959-08-14,1959,8,14,50687.142857142855
162,1959-08-17,1959,8,17,50690.04761904762
163,1959-08-18,1959,8,18,50692.95238095238
164,1959-08-19,1959,8,19,50695.857142857145
165,1959-08-20,1959,8,20,50698.76190476191
166,1959-08-21,1959,8,21,50701.666666666664
167,1959-08-24,1959,8,24,50704.57142857143
168,1959-08-25,1959,8,25,50707.47619047619
169,1959-08-26,1959,8,26,50710.380952380954
170,1959-08-27,1959,8,27,50713.28571428572
171,1959-08-28,1959,8,28,50716.19047619047
172,1959-08-31,1959,8,31,50719.09523809524
173,1959-09-01,1959,9,1,50722.0
174,1959-09-02,1959,9,2,50719.181818181816
175,1959-09-03,1959,9,3,50716.36363636364
176,1959-09-04,1959,9,4,50713.545454545456
177,1959-09-07,1959,9,7,50710.72727272727
178,1959-09-08,1959,9,8,50707.90909090909
179,1959-09-09,1959,9,9,50705.09090909091
180,1959-09-10,1959,9,10,50702.27272727273
181,1959-09-11,1959,9,11,50699.454545454544
182,1959-09-14,1959,9,14,50696.63636363636
183,1959-09-15,1959,9,15,50693.818181818184
184,1959-09-16,1959,9,16,50691.0
185,1959-09-17,1959,9,17,50688.181818181816
186,1959-09-18,1959,9,18,50685.36363636364
187,1959-09-21,1959,9,21,50682.545454545456
188,1959-09-22,1959,9,22,50679.72727272727
189,1959-09-23,1959,9,23,50676.90909090909
190,1959-09-24,1959,9,24,50674.09090909091
191,1959-09-25,1959,9,25,50671.27272727273
192,1959-09-28,1959,9,28,50668.454545454544
193,1959-09-29,1959,9,29,50665.63636363636
194,1959-09-30,1959,9,30,50662.818181818184
195,1959-10-01,1959,10,1,50660.0
196,1959-10-02,1959,10,2,50669.86363636364
197,1959-10-05,1959,10,5,50679.72727272727
198,1959-10-06,1959,10,6,50689.59090909091
199,1959-10-07,1959,10,7,50699.454545454544
200,1959-10-08,1959,10,8,50709.318181818184
201,1959-10-09,1959,10,9,50719.181818181816
202,1959-10-12,1959,10,12,50729.045454545456
203,1959-10-13,1959,10,13,50738.90909090909
204,1959-10-14,1959,10,14,50748.77272727273
205,1959-10-15,1959,10,15,50758.63636363636
206,1959-10-16,1959,10,16,50768.5
207,1959-10-19,1959,10,19,50778.36363636364
208,1959-10-20,1959,10,20,50788.22727272727
209,1959-10-21,1959,10,21,50798.09090909091
210,1959-10-22,1959,10,22,50807.954545454544
211,1959-10-23,1959,10,23,50817.818181818184
212,1959-10-26,1959,10,26,50827.681818181816
213,1959-10-27,1959,10,27,50837.545454545456
214,1959-10-28,1959,10,28,50847.40909090909
215,1959-10-29,1959,10,29,50857.27272727273
216,1959-10-30,1959,10,30,50867.13636363636
217,1959-11-02,1959,11,2,50877.0
218,1959-11-03,1959,11,3,50906.857142857145
219,1959-11-04,1959,11,4,50936.71428571428
220,1959-11-05,1959,11,5,50966.57142857143
221,1959-11-06,1959,11,6,50996.42857142857
222,1959-11-09,1959,11,9,51026.28571428572
223,1959-11-10,1959,11,10,51056.142857142855
224,1959-11-11,1959,11,11,51086.0
225,1959-11-12,1959,11,12,51115.857142857145
226,1959-11-13,1959,11,13,51145.71428571428
227,1959-11-16,1959,11,16,51175.57142857143
228,1959-11-17,1959,11,17,51205.42857142857
229,1959-11-18,1959,11,18,51235.28571428572
230,1959-11-19,1959,11,19,51265.142857142855
231,1959-11-20,1959,11,20,51295.0
232,1959-11-23,1959,11,23,51324.857142857145
233,1959-11-24,1959,11,24,51354.71428571428
234,1959-11-25,1959,11,25,51384.57142857143
235,1959-11-26,1959,11,26,51414.42857142857
236,1959-11-27,1959,11,27,51444.28571428572
237,1959-11-30,1959,11,30,51474.142857142855
238,1959-12-01,1959,12,1,51504.0
239,1959-12-02,1959,12,2,51467.34782608696
240,1959-12-03,1959,12,3,51430.69565217391
241,1959-12-04,1959,12,4,51394.04347826087
242,1959-12-07,1959,12,7,51357.391304347824
243,1959-12-08,1959,12,8,51320.739130434784
244,1959-12-09,1959,12,9,51284.086956521736
245,1959-12-10,1959,12,10,51247.434782608696
246,1959-12-11,1959,12,11,51210.782608695656
247,1959-12-14,1959,12,14,51174.13043478261
248,1959-12-15,1959,12,15,51137.47826086957
249,1959-12-16,1959,12,16,51100.82608695652
250,1959-12-17,1959,12,17,51064.17391304348
251,1959-12-18,1959,12,18,51027.52173913043
252,1959-12-21,1959,12,21,50990.86956521739
253,1959-12-22,1959,12,22,50954.217391304344
254,1959-12-23,1959,12,23,50917.565217391304
255,1959-12-24,1959,12,24,50880.913043478264
256,1959-12-25,1959,12,25,50844.260869565216
