Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1989,Volume index - Previous year = 100,104.14,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1989,Value index - Previous year = 100,107.264,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1989,Value index - Previous year = 100,112.835,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1990,Value index - Previous year = 100,108.186,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1990,Value index - Previous year = 100,104.882,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1990,Volume index - Previous year = 100,101.531,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1990,Volume index - Previous year = 100,107.221,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1990,Unit value index - Prev. year = 100,100.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1990,Unit value index - Prev. year = 100,103.3,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1991,Unit value index - Prev. year = 100,100,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1991,Unit value index - Prev. year = 100,100.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1991,Volume index - Previous year = 100,106.193,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1991,Volume index - Previous year = 100,98.332,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1991,Value index - Previous year = 100,98.332,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1991,Value index - Previous year = 100,107.149,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1992,Value index - Previous year = 100,106.268,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1992,Value index - Previous year = 100,108.962,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1992,Volume index - Previous year = 100,108.097,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1992,Volume index - Previous year = 100,106.162,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1992,Unit value index - Prev. year = 100,100.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1992,Unit value index - Prev. year = 100,100.8,   ,WTO, 
