,index,CPI,CPI2,ConstructionSpending,ConstructionSpending2,CrudeOil,CrudeOil2,DATE,Day,Employment,Employment2,Export_Unit_Value,Export_Unit_Value2,Export_Value,Export_Value2,Export_Volume,Export_Volume2,FedFundRate,FedFundRate2,GDP,GDP2,HomePrice,HomePrice2,Import_Unit_Value,Import_Unit_Value2,Import_Value,Import_Value2,Import_Volume,Import_Volume2,Income,Income2,Loans,Loans2,MonetaryBase,MonetaryBase2,Month,SnP,SnP2,USDollar,USDollar2,Year,pct_SnP,pct_GDP,pct_MonetaryBase,pct_CPI,pct_HomePrice,pct_Loans,pct_Employment,pct_Income,pct_ConstructionSpending,pct_FedFundRate,pct_USDollar,pct_CrudeOil,pct_Import_Unit_Value,pct_Import_Volume,pct_Import_Value,pct_Export_Unit_Value,pct_Export_Volume,pct_Export_Value,long_short
0,0,150.52,151.8,543624.8,543096.0,17.56,19.05,1995-01-04,4.0,114694.9,116909.0,101.7112,102.3944,114.20552,113.62724,112.284892,110.997304,6.59,6.28,7546.257725806451,7604.923000000001,182.94822580645163,185.89,101.7112,102.3944,114.20552,113.62724,112.284892,110.997304,6150.46,6221.9,431972.2419354839,442540.0,426055.65,433540.0,1.0,459.130005,500.700012,94.3497,91.5439,1995.0,1.0905408196965913,1.0077740883395656,1.0175666019216034,1.0085038533085304,1.0160798181047166,1.0244639748544178,1.019304258515418,1.0116153913691008,0.99902727027906,0.952959028831563,0.9702616966455643,1.084851936218679,1.0067170577084923,0.988532847321971,0.9949364969399027,1.0067170577084923,0.988532847321971,0.9949364969399027,1
1,61,151.8,152.6,543096.0,547342.0,19.05,17.33,1995-04-03,3.0,116909.0,117113.0,102.3944,103.1112,113.62724,113.02052,110.997304,109.64639199999999,6.28,5.89,7604.923000000001,7706.531,185.89,188.75,102.3944,103.1112,113.62724,113.02052,110.997304,109.64639199999999,6221.9,6292.3,442540.0,454871.0,433540.0,435915.0,4.0,500.700012,544.75,91.5439,90.0725,1995.0,1.087976806359653,1.0133608190378784,1.0054781565714812,1.0052700922266138,1.015385443003927,1.0278641478736386,1.001744946924531,1.011314871662997,1.0078181389662233,0.9378980891719745,0.9839268372879024,0.9097112860892387,1.0070003828334362,0.9878293260167832,0.9946604352970292,1.0070003828334362,0.9878293260167832,0.9946604352970292,1
2,124,152.6,153.5,547342.0,555132.0,17.33,17.67,1995-07-03,3.0,117113.0,118893.0,103.1112,103.8168,113.02052,112.42328,109.64639199999999,108.316588,5.89,5.93,7706.531,7799.493,188.75,190.22,103.1112,103.8168,113.02052,112.42328,109.64639199999999,108.316588,6292.3,6369.9,454871.0,466813.0,435915.0,436570.0,7.0,544.75,584.409973,90.0725,93.3178,1995.0,1.0728039889857734,1.0120627556030075,1.0015025865134257,1.005897771952818,1.0077880794701988,1.0262535971737041,1.015198995841623,1.0123325334138549,1.0142324177570878,1.0067911714770799,1.0360298648311084,1.0196191575302944,1.0068430975490539,0.9878718854697928,0.9947156498660598,1.0068430975490539,0.9878718854697928,0.9947156498660598,1
3,187,153.5,154.7,555132.0,575138.0,17.67,19.83,1995-10-02,2.0,118893.0,116431.0,103.8168,104.5,112.42328,111.845,108.316588,107.029,5.93,6.06,7799.493,7893.146,190.22,192.37,103.8168,104.5,112.42328,111.845,108.316588,107.029,6369.9,6451.9,466813.0,480886.0,436570.0,441733.0,10.0,584.409973,615.929993,93.3178,95.7118,1995.0,1.0539347743129632,1.0120075753641935,1.0118262821540647,1.007817589576547,1.0113027021343708,1.0301469753413037,0.9792923048455334,1.0128730435328654,1.0360382755813031,1.0219224283305228,1.025654269603441,1.1222410865874362,1.0065808231423046,0.9881127348656884,0.9948562255077418,1.0065808231423046,0.9881127348656884,0.9948562255077418,1
4,248,154.7,156.1,575138.0,590464.0,19.83,22.29,1996-01-02,2.0,116431.0,119013.0,104.5,103.63888888888889,111.845,110.5639126984127,107.029,106.67299206349206,6.06,5.53,7893.146,8061.535,192.37,192.7,104.5,103.63888888888889,111.845,110.5639126984127,107.029,106.67299206349206,6451.9,6597.2,480886.0,500762.0,441733.0,443376.0,1.0,615.929993,645.5,95.7118,96.6247,1996.0,1.0480087141981411,1.0213335721903536,1.0037194413820114,1.009049773755656,1.0017154441960805,1.0413320412738154,1.0221762245450094,1.0225204978378462,1.0266475176392449,0.9125412541254126,1.0095380088975445,1.1240544629349472,0.9917597022860181,0.9966737245372008,0.988545868822144,0.9917597022860181,0.9966737245372008,0.988545868822144,1
5,310,156.1,157.0,590464.0,599899.0,22.29,21.48,1996-04-01,1.0,119013.0,119767.0,103.63888888888889,102.75,110.5639126984127,109.2415,106.67299206349206,106.3055,5.53,7.8,8061.535,8159.043000000001,192.7,193.56,103.63888888888889,102.75,110.5639126984127,109.2415,106.67299206349206,106.3055,6597.2,6683.4,500762.0,514549.0,443376.0,449831.0,4.0,645.5,670.630005,96.6247,97.8306,1996.0,1.0389310689388072,1.0120954632089298,1.0145587492331565,1.005765534913517,1.0044628956927868,1.0275320411692581,1.0063354423466344,1.0130661492754502,1.0159789589204422,1.4104882459312837,1.0124802457342688,0.9636608344549126,0.9914232109354061,0.996554966197317,0.9880393822347816,0.9914232109354061,0.996554966197317,0.9880393822347816,1
6,373,157.0,158.2,599899.0,621761.0,21.48,24.35,1996-07-01,1.0,119767.0,121524.0,102.75,101.86111111111111,109.2415,107.9190873015873,106.3055,105.93800793650794,7.8,5.53,8159.043000000001,8287.078000000001,193.56,195.08,102.75,101.86111111111111,109.2415,107.9190873015873,106.3055,105.93800793650794,6683.4,6770.9,514549.0,527050.0,449831.0,452496.0,7.0,670.630005,687.3099980000001,97.8306,98.0451,1996.0,1.0248721245331098,1.0156924041214148,1.0059244471812747,1.0076433121019108,1.0078528621616036,1.0242950622778395,1.0146701512102665,1.0130921387317833,1.0364428012048694,0.708974358974359,1.0021925655163109,1.133612662942272,0.9913490132468235,0.9965430569115233,0.987894594101942,0.9913490132468235,0.9965430569115233,0.987894594101942,1
7,437,158.2,159.4,621761.0,608608.0,24.35,25.55,1996-10-01,1.0,121524.0,119421.0,101.86111111111111,101.0,107.9190873015873,106.63799999999999,105.93800793650794,105.58200000000001,5.53,5.79,8287.078000000001,8402.06,195.08,196.7,101.86111111111111,101.0,107.9190873015873,106.63799999999999,105.93800793650794,105.58200000000001,6770.9,6891.3,527050.0,550820.0,452496.0,462505.0,10.0,687.3099980000001,740.73999,98.0451,99.217,1996.0,1.0777378361372243,1.0138748543213902,1.022119532548354,1.0075853350189634,1.0083042854213655,1.0451000853808936,0.982694776340476,1.0177819787620555,0.9788455692782275,1.047016274864376,1.0119526626011905,1.0492813141683779,0.9915462230706299,0.9966394692193825,0.9881291870268767,0.9915462230706299,0.9966394692193825,0.9881291870268767,1
8,499,159.4,159.9,608608.0,616175.0,25.55,20.3,1997-01-02,2.0,119421.0,122140.0,101.0,100.14940239043824,106.63799999999999,107.30122310756971,105.58200000000001,107.18331075697212,5.79,6.18,8402.06,8551.94,196.7,198.35,101.0,100.14940239043824,106.63799999999999,107.30122310756971,105.58200000000001,107.18331075697212,6891.3,6980.5,550820.0,587962.0,462505.0,465478.0,1.0,740.73999,757.119995,99.217,102.4254,1997.0,1.022113029161555,1.017838482467395,1.0064280386157987,1.0031367628607277,1.0083884087442807,1.0674303765295379,1.0227681898493566,1.0129438567469127,1.0124332903938167,1.067357512953368,1.032337200278178,0.7945205479452055,0.9915782414894875,1.0151665128238916,1.0062193880940165,0.9915782414894875,1.0151665128238916,1.0062193880940165,1
9,559,159.9,160.4,616175.0,637410.0,20.3,20.11,1997-04-01,1.0,122140.0,122886.0,100.14940239043824,99.25697211155378,107.30122310756971,107.99706374501991,107.18331075697212,108.86337450199204,6.18,6.24,8551.94,8691.756,198.35,201.07,100.14940239043824,99.25697211155378,107.30122310756971,107.99706374501991,107.18331075697212,108.86337450199204,6980.5,7079.7,587962.0,608031.0,465478.0,473111.0,4.0,757.119995,885.1400150000001,102.4254,102.2232,1997.0,1.1690881509475919,1.016349038931517,1.0163981971220981,1.0031269543464665,1.0137131333501386,1.0341331582653301,1.0061077452104144,1.0142110164028364,1.0344626120826064,1.0097087378640777,0.9980258802992228,0.9906403940886699,0.9910890104425659,1.0156746767118372,1.0064849273596128,0.9910890104425659,1.0156746767118372,1.0064849273596128,1
